country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Portugal,"165,696.90",132275.84,10/22/2020,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038
Sweden,"177,993.88",145029.41,12/2/2019,Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842
France,"108,713.83",90341.19,3/9/2020,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838
Finland,"25,816.05",21447.97,9/8/2019,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861
Portugal,"154,072.89",121887.06,9/30/2020,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452
Finland,"194,962.05",154975.33,7/5/2020,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC,54-5082146
Portugal,"60,744.83",52805.48,3/19/2020,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,PC,69-4462108
Sweden,"39,313.39",34273.41,10/10/2020,Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565
France,"119,820.82",98289.02,6/16/2019,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108
UK,"129,485.51",112794.83,1/5/2019,Appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,PC,15-2503493
Italy,"163,203.64",140893.70,6/21/2019,Smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,PC,37-0857161
France,"62,788.04",53049.61,2/13/2020,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641
Portugal,"148,037.71",117867.62,4/14/2020,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580
Ireland,"55,539.67",45620.29,3/21/2020,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948
France,"150,135.00",131067.85,9/9/2020,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728
Ireland,"85,294.30",72662.21,3/25/2020,Beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,47-0640313
Luxembourg,"136,079.62",119178.53,8/29/2019,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365
Finland,"186,397.60",161233.92,12/4/2020,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129
Germany,"32,695.37",26375.35,11/28/2020,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585
France,"86,077.83",72288.16,11/3/2019,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608
Sweden,"72,885.55",59773.44,12/29/2020,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127
Portugal,"100,469.75",82566.04,5/17/2019,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820
Sweden,"40,831.52",34192.31,4/26/2019,Appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,35-1705563
Italy,"142,353.07",116046.22,7/24/2019,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,PC,93-9941140
Sweden,"250,315.06",218825.43,7/8/2019,Beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,PC,36-2366573
UK,"100,094.97",84690.35,11/8/2020,Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801
UK,"77,128.75",65536.30,8/9/2020,Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739
France,"176,114.73",149257.23,11/24/2020,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372
France,"146,325.53",118333.46,8/9/2020,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610
Germany,"161,823.46",130494.44,7/20/2020,Clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,PC,84-1062113
Sweden,"132,632.97",112035.07,4/23/2019,Electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,PC,05-5082715
Portugal,"107,232.99",85207.33,3/8/2020,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,PC,35-6942653
Sweden,"120,763.23",96719.27,4/14/2020,Clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,PC,79-6623911
Bulgaria,"278,731.90",221591.86,12/5/2019,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,PC,48-7662634
Bulgaria,"138,153.70",112926.83,2/14/2019,Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,PC,46-5888587
Ireland,"68,802.13",54635.77,9/15/2020,Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991
Finland,"35,619.28",28192.66,1/8/2019,Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,PC,18-8528486
UK,"65,014.84",53669.75,3/27/2020,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115
Germany,"48,922.42",39387.44,10/19/2020,Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616
France,"165,262.34",142621.40,5/19/2020,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600
Portugal,"164,117.24",133509.37,5/28/2020,Electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,88-7664123
Portugal,"238,085.99",193587.72,7/16/2020,Clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,PC,17-8884817
Sweden,"117,733.51",97294.97,7/13/2019,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,PC,45-5509135
France,"26,713.46",22043.95,10/12/2020,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165
France,"49,664.17",39244.63,10/30/2019,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599
Sweden,"162,101.93",133912.40,12/19/2019,Smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,PC,24-4272786
France,"118,027.37",96050.67,4/6/2019,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041
Sweden,"147,994.63",129643.30,1/27/2019,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,PC,47-7207206
Finland,"48,946.74",38765.82,4/19/2019,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,65-2022928
Sweden,"73,860.57",60336.70,11/13/2020,Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761
Portugal,"86,083.27",72309.95,11/30/2019,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,PC,80-7090422
Finland,"72,385.53",60181.33,9/10/2019,Clothing,Johns and Sons,Hube Corey,Wat Bowkley,PC,66-8222460
Portugal,"120,332.26",102282.42,1/14/2020,Clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427
Sweden,"81,262.34",65326.80,9/6/2019,Books,Johns and Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276
Austria,"139,075.59",113708.20,12/16/2020,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756
France,"50,516.20",43918.78,3/22/2019,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322
Sweden,"112,228.82",97470.73,9/15/2019,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,PC,75-9585763
France,"79,833.60",63411.83,6/15/2019,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202
Finland,"135,629.36",118526.50,8/12/2020,Games,Tillman and Sons,Hube Corey,Mellicent Mattys,PC,66-7717800
Luxembourg,"175,332.04",144999.60,9/24/2020,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175
Portugal,"101,923.36",86115.05,1/19/2019,Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273
Germany,"190,100.96",160749.37,12/20/2019,Electronics,Walter LLC,Rickard Doogood,Casie MacBain,PC,38-8840357
Netherlands,"152,771.90",134423.99,5/2/2020,Clothing,McClure Inc,Denice Amberg,Nero Harbisher,PC,82-4495901
France,"52,805.94",43791.97,6/22/2020,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308
Portugal,"51,416.24",43338.75,4/15/2020,Smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,PC,15-0224516
Luxembourg,"76,426.54",66116.60,3/16/2019,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,PC,95-6935153
France,"118,021.59",98229.37,4/21/2019,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261
Portugal,"59,378.97",52176.30,4/25/2020,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,PC,56-2783503
Spain,"61,325.25",49379.09,7/29/2020,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475
France,"80,431.34",69774.19,7/22/2019,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588
Portugal,"177,919.14",147370.42,6/7/2020,Beauty,Walter LLC,Celine Tumasian,Aurelie Wren,PC,70-7769332
Ireland,"37,520.09",32781.30,5/27/2020,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800
Spain,"68,745.86",58014.63,4/9/2019,Electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,PC,11-2988171
Denmark,"69,017.42",55897.21,4/2/2020,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,PC,38-3894304
France,"48,850.38",39788.63,3/31/2019,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082
Netherlands,"253,291.55",219502.46,6/12/2020,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,PC,25-4970452
Portugal,"47,186.74",38112.73,7/28/2019,Electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,34-8903845
Portugal,"59,670.68",51269.05,9/10/2019,Appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,PC,32-2110689
Portugal,"228,961.30",183764.34,6/1/2020,Appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,37-8204282
France,"165,259.58",130703.80,6/26/2020,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487
France,"219,911.81",179426.05,7/5/2019,Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751
Finland,"55,882.12",48561.56,5/20/2020,Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,PC,24-7985425
France,"16,388.90",13430.70,3/15/2020,Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927
Spain,"85,927.37",74490.44,4/15/2019,Clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,PC,37-5025811
France,"161,212.39",138046.17,7/4/2020,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877
France,"66,678.38",53009.31,3/4/2019,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010
Sweden,"148,243.05",120566.07,12/7/2020,Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816
Ireland,"126,523.36",106368.19,5/14/2020,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894
Ireland,"63,373.72",55572.41,3/3/2020,Clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,PC,92-0523700
Ireland,"76,767.77",64500.28,1/22/2020,Games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248
Portugal,"78,938.82",65471.86,4/24/2019,Games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,PC,16-3423161
France,"131,864.04",110277.90,4/9/2019,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209
Portugal,"116,774.43",98954.65,4/21/2019,Accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983
France,"141,112.84",120044.69,8/8/2020,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762
Bulgaria,"33,210.56",29109.06,11/20/2020,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359
France,"174,392.33",141449.62,8/3/2020,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860
Sweden,"204,484.61",177308.61,6/16/2019,Games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689
Germany,"80,986.10",64124.79,12/2/2019,Appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,Mobile,85-3690127
Sweden,"179,179.73",154936.71,10/22/2019,Books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,PC,66-5810051
Netherlands,"99,731.40",84731.80,1/12/2020,Electronics,Smith Group,Denice Amberg,Nero Harbisher,PC,81-9170157
France,"32,661.62",27922.42,2/8/2020,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640
Sweden,"30,166.93",24658.45,11/29/2019,Appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,PC,97-1288901
Germany,"36,747.24",31900.28,1/19/2019,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,PC,81-9757849
France,"66,884.70",58544.18,1/19/2020,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070
Portugal,"165,305.70",134757.21,7/13/2019,Games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,PC,55-2137809
Sweden,"50,618.21",41835.95,3/5/2019,Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,PC,56-1063618
Sweden,"82,116.31",70652.87,5/30/2020,Beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546
Sweden,"106,142.65",88151.47,6/4/2019,Games,Baumbach Group,Maxie Marrow,Anita Woakes,PC,29-5632797
Portugal,"149,514.00",122646.33,10/18/2020,Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256
Sweden,"30,975.79",27072.84,3/15/2020,Clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,PC,33-4022317
France,"165,118.74",137527.40,11/2/2019,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,PC,59-5892824
Germany,"76,652.73",64311.64,8/4/2020,Accessories,"Farrell, Swaniawski and Crist",Rickard Doogood,Casie MacBain,PC,52-3394023
UK,"151,632.33",120744.82,7/14/2020,Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,89-5350599
France,"35,289.75",29424.59,2/26/2019,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,PC,92-6298656
France,"77,043.84",63245.29,2/8/2020,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,PC,91-7317758
Portugal,"59,691.71",49239.69,6/17/2019,Other,Walter LLC,Celine Tumasian,Hortense Gerring,PC,60-6055725
Portugal,"181,882.43",149834.75,7/28/2019,Books,McClure Inc,Celine Tumasian,Corene Shirer,PC,33-2816759
Portugal,"50,796.04",44090.96,9/21/2019,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Hortense Gerring,PC,05-2359767
Netherlands,"73,981.77",61959.73,11/18/2019,Clothing,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,73-9492768
UK,"105,686.13",86694.33,10/13/2019,Outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,31-6770318
Sweden,"149,376.26",123653.67,1/31/2020,Other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,PC,52-0695511
Netherlands,"85,237.91",72384.03,3/18/2020,Smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,PC,45-8314773
Luxembourg,"104,743.22",83281.33,3/24/2019,Electronics,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940
Portugal,"290,551.74",239530.86,12/14/2020,Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,53-1660551
France,"72,314.73",57309.42,8/27/2019,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,70-5394452
Netherlands,"119,858.15",99997.65,11/19/2020,Electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,PC,10-0386535
Portugal,"119,937.47",98720.53,8/13/2019,Games,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,56-8476539
France,"60,592.40",52363.95,2/22/2019,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,04-7976277
Ireland,"31,966.82",26593.20,8/24/2020,Appliances,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,21-2965409
Portugal,"83,226.45",71699.59,11/22/2020,Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,PC,04-2788693
Germany,"51,407.30",44292.53,5/2/2019,Clothing,Altenwerth-Konopelski,Rickard Doogood,Casie MacBain,Tablet,20-6477396
Germany,"61,968.26",50690.04,12/27/2020,Electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,PC,22-7259031
Ireland,"271,465.15",217959.37,7/3/2019,Electronics,Corwin and Sons,Glenine Suttaby,Bunnie Tonbridge,Mobile,44-9239029
Sweden,"86,854.64",72219.63,2/4/2020,Books,Tillman and Sons,Maxie Marrow,Tarrah Castelletti,PC,77-4566105
Ireland,"119,819.37",105441.05,12/7/2020,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,29-3662564
UK,"160,763.90",131102.96,4/18/2019,Appliances,McGlynn-Prosacco,Jessamine Apark,Genevra Charrisson,PC,73-8057834
Sweden,"44,029.07",38344.92,9/9/2019,Other,McGlynn-Bergstrom,Maxie Marrow,Alyosha Meah,PC,87-9980890
France,"86,628.32",72464.59,11/6/2019,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,PC,98-8250897
Portugal,"97,641.25",83414.92,10/17/2020,Books,Morissette Group,Celine Tumasian,Brynn Dempster,PC,98-3051699
Portugal,"98,746.66",80399.53,2/10/2020,Appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,PC,75-7291972
France,"109,562.50",89917.94,8/5/2020,Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,67-3672347
UK,"60,301.96",48820.47,2/8/2019,Beauty,Wiza and Sons,Jessamine Apark,Jay Morefield,PC,75-1785229
France,"80,781.62",68971.35,1/19/2019,Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071
France,"238,659.41",204507.25,12/23/2019,Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664
UK,"165,631.75",139114.11,9/3/2019,Appliances,Johns and Sons,Jessamine Apark,Jay Morefield,PC,07-7047482
Sweden,"126,682.79",106514.89,6/11/2019,Smartphones,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,57-1931933
Sweden,"145,558.00",116257.18,12/20/2019,Clothing,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,15-5167065
Spain,"59,163.79",50419.38,3/11/2019,Smartphones,McClure Inc,Emalia Dinse,Perri Aldersley,Mobile,98-9382686
Sweden,"140,352.81",122303.44,12/1/2019,Smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,PC,47-5733147
France,"163,401.23",139413.93,4/22/2019,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,98-2104934
Sweden,"177,867.30",140675.25,10/3/2020,Smartphones,Walter LLC,Maxie Marrow,Anita Woakes,PC,30-6005742
Germany,"58,416.81",46745.13,2/7/2019,Clothing,Morissette Group,Rickard Doogood,Casie MacBain,PC,21-7461655
Germany,"169,544.95",137568.77,4/12/2020,Appliances,"Keeling, Monahan and Pollich",Rickard Doogood,Casie MacBain,Mobile,96-7625873
Luxembourg,"74,732.79",64098.31,2/24/2020,Beauty,McClure Inc,Ilsa Kob,Jocelyn Laurentino,PC,53-2132479
Portugal,"55,166.78",47443.43,4/13/2020,Books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,70-4650708
France,"99,319.33",79127.71,5/26/2020,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,53-3037652
Sweden,"118,982.14",95506.96,1/15/2020,Clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,Mobile,76-0774122
Ireland,"157,007.52",126940.58,8/31/2019,Beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,PC,72-3928347
France,"49,374.25",39208.09,5/21/2019,Books,Stehr LLC,Othello Bowes,Ora Grennan,PC,87-1399932
Portugal,"123,891.60",104118.50,7/23/2019,Games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,PC,25-1045028
France,"234,340.31",204438.49,12/13/2020,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033
Netherlands,"95,575.75",75504.84,12/23/2020,Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,35-9372764
Finland,"125,280.28",99372.32,10/18/2019,Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,PC,36-1142710
Portugal,"127,482.28",108614.90,8/26/2020,Beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,PC,75-6291395
Portugal,"120,453.52",97218.04,2/11/2019,Beauty,"Schowalter, Lesch and Beahan",Celine Tumasian,Brynn Dempster,PC,00-3338378
Portugal,"120,152.33",97527.65,9/29/2019,Outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,PC,55-1904761
Portugal,"95,410.97",80593.65,9/22/2020,Books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399
France,"128,804.51",105709.86,9/13/2019,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420
Italy,"26,899.97",23198.53,3/19/2019,Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,PC,57-2968987
UK,"123,751.91",102590.33,11/18/2019,Smartphones,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-2146784
Sweden,"37,081.31",31304.04,3/11/2019,Beauty,McGlynn-Prosacco,Maxie Marrow,Anita Woakes,PC,19-3129154
France,"133,905.55",116886.15,8/1/2020,Books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,Mobile,79-0973971
France,"63,298.61",53645.57,4/10/2020,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,Mobile,65-5376517
France,"274,242.36",227950.25,12/9/2020,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827
Luxembourg,"312,928.72",270401.71,12/12/2019,Beauty,Altenwerth-Konopelski,Ilsa Kob,Jocelyn Laurentino,Tablet,98-5257166
France,"119,156.18",100710.80,8/20/2019,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,19-5610175
France,"162,123.74",133979.06,4/14/2020,Beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,94-3509391
Ireland,"65,831.42",52487.39,1/12/2019,Electronics,"Christiansen, Donnelly and Bechtelar",Glenine Suttaby,Palm Wetherald,PC,43-5417299
France,"180,515.09",148852.74,12/26/2019,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,PC,68-6141868
UK,"99,114.91",84217.94,4/4/2020,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,29-8979189
Portugal,"171,884.00",146702.99,10/13/2019,Games,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,58-9821508
Denmark,"26,745.94",22600.32,11/10/2019,Appliances,Larkin-Collier,Modestia Byfford,Case Desorts,PC,49-1493117
Portugal,"77,087.84",65894.69,5/17/2020,Other,"Rowe, Hermiston and Kessler",Celine Tumasian,Aurelie Wren,PC,51-5334556
France,"87,404.00",69363.81,12/26/2019,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,79-3154360
France,"47,680.20",40575.85,7/8/2019,Clothing,Dibbert Inc,Othello Bowes,Crysta Halls,PC,11-6024248
Finland,"27,824.83",23517.55,9/6/2019,Games,McClure Inc,Hube Corey,Wat Bowkley,PC,61-4610981
Portugal,"106,516.40",86928.03,3/21/2019,Clothing,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Smitty Culverhouse,PC,12-4509008
France,"141,948.11",112948.11,4/25/2020,Books,Stehr LLC,Othello Bowes,Maighdiln Upcraft,PC,46-5576111
Ireland,"226,021.18",180455.31,7/18/2019,Accessories,"Schowalter, Lesch and Beahan",Glenine Suttaby,Palm Wetherald,PC,44-6718687
Italy,"44,232.84",38880.67,2/20/2020,Books,Johns and Sons,Piggy Roscrigg,Joshua Prevost,Tablet,67-7432229
Ireland,"135,344.52",117492.58,1/17/2019,Games,Tillman and Sons,Glenine Suttaby,Palm Wetherald,PC,17-4401585
France,"271,411.92",231514.37,12/9/2019,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Tablet,56-9241023
Portugal,"125,253.59",108269.20,2/17/2020,Smartphones,"Murray, Reichel and Nolan",Celine Tumasian,Corene Shirer,PC,90-2194359
Sweden,"15,100.57",12113.68,2/20/2019,Games,"Murray, Reichel and Nolan",Maxie Marrow,Tarrah Castelletti,PC,89-2424262
France,"157,932.84",134148.15,1/31/2020,Games,"Schowalter, Lesch and Beahan",Othello Bowes,Amelina Piscopiello,PC,30-2982340
Portugal,"64,192.86",52837.14,4/12/2020,Appliances,Johns and Sons,Celine Tumasian,Brynn Dempster,PC,10-4704941
Sweden,"156,453.01",128494.86,10/4/2020,Clothing,Johns and Sons,Maxie Marrow,Madelon Bront,PC,48-3484986
Finland,"53,616.06",45589.74,1/3/2020,Appliances,Kihn Inc,Hube Corey,Wat Bowkley,PC,84-4478396
Finland,"163,967.89",138208.53,5/30/2019,Appliances,Friesen-Rath,Hube Corey,Wat Bowkley,Tablet,28-0849652
Sweden,"171,748.56",136574.45,11/20/2020,Games,Walter LLC,Maxie Marrow,Madelon Bront,PC,74-0214938
France,"26,103.94",22339.75,8/31/2020,Appliances,"Fisher, Morar and Skiles",Othello Bowes,Ora Grennan,Tablet,89-0187996
Portugal,"140,337.34",115708.14,9/4/2020,Appliances,Hegmann Group,Celine Tumasian,Corene Shirer,PC,65-8218141
Sweden,"33,617.03",26614.60,4/7/2020,Appliances,Altenwerth-Konopelski,Maxie Marrow,Madelon Bront,PC,49-8489293
Portugal,"187,874.45",160031.46,6/26/2019,Accessories,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,91-8142232
Finland,"41,675.01",33765.09,6/25/2019,Beauty,"Hamill, Kulas and Roob",Hube Corey,Wat Bowkley,PC,75-5380350
Portugal,"34,930.08",28017.42,11/1/2019,Appliances,Kihn Inc,Celine Tumasian,Smitty Culverhouse,PC,35-4551515
Finland,"127,994.87",105800.56,9/1/2020,Books,Hegmann Group,Hube Corey,Mellicent Mattys,PC,73-2763209
Portugal,"162,637.68",130402.89,9/27/2019,Clothing,Larkin-Collier,Celine Tumasian,Corene Shirer,PC,56-0800364
Portugal,"40,728.28",35669.83,9/22/2019,Beauty,Romaguera-Haley,Celine Tumasian,Hortense Gerring,Mobile,42-7027181
